Crop Name,Ideal pH,Average Temperature,Yield,Nitrogen,Phosphorus,Potassium
Watermelon,5.8,27-25,9.93,8,12,24
Hops,6.5,24-30,4.59,11,14,40
Beets,6.6,22-32,3.64,10,6,26
Arugula,6.0,26-33,1.91,7,5,39
Rose Apple,5.6,20-32,2.49,6,10,35
Radicchio,6.5,18-25,7.05,7,12,30
Wasabi,5.7,26-35,2.94,10,15,39
Basil,6.9,22-34,9.62,15,7,36
Blackberry,6.5,27-26,7.26,11,8,21
Fenugreek,6.4,29-26,3.06,11,10,26
Microgreens,6.4,17-27,6.41,12,8,31
Mustard Greens,6.7,24-32,5.01,5,11,39
Cassava,6.0,18-27,3.17,5,10,29
Turmeric,5.6,17-27,7.08,15,5,30
Beets,5.6,26-31,4.06,8,7,20
Purslane,6.2,28-29,5.86,14,13,21
Snake Gourd,6.1,27-26,0.88,13,6,33
Stevia,5.7,20-25,6.52,6,11,18
Taro,6.8,26-28,0.52,7,7,25
Microgreens,6.0,19-32,8.19,7,5,28
Mango,6.1,27-25,8.41,11,14,38
Neem,5.9,18-28,5.45,9,15,36
Curry Leaves,5.6,27-33,4.28,10,15,35
Tomato,6.9,15-33,8.55,14,10,23
Jackfruit,6.8,30-30,0.67,5,7,24
Cassava,6.1,25-25,0.7,10,7,17
Bok Choy,5.5,16-27,5.61,10,13,23
Guava,6.2,18-30,5.86,15,10,36
Beets,6.7,16-33,1.85,9,6,25
Soybeans,5.7,23-35,6.81,7,12,35
Mustard Greens,6.9,18-33,9.35,7,7,17
Hops,6.4,17-32,3.86,9,9,30
Mustard Greens,6.2,28-26,1.8,5,10,30
Arugula,5.6,16-31,5.52,6,14,22
Tomato,6.9,29-30,7.35,9,14,24
Cassava,5.5,15-27,5.14,7,6,28
Tea,5.7,24-35,4.32,11,13,20
Chives,6.3,20-25,2.6,15,8,29
Parsley,5.6,15-34,1.74,8,5,20
Brussels Sprouts,6.8,21-27,6.37,9,10,24
Vanilla,5.7,30-35,5.38,15,6,28
Sapodilla,6.3,23-25,3.8,14,8,35
Swiss Chard,5.9,28-31,8.55,6,9,23
Cabbage,7.0,20-32,8.73,15,15,40
Peppers,6.1,19-26,9.2,8,11,22
Endive,6.6,15-31,7.77,9,12,21
Holy Basil,5.6,27-34,4.61,5,15,26
Cassava,5.6,18-31,1.74,7,8,36
Cranberry,7.0,25-27,9.78,12,12,18
Chili Pepper,6.4,19-27,5.31,9,12,16
Mushrooms,6.1,15-33,2.89,11,14,25
Star Fruit,5.9,17-34,2.06,11,5,25
Blackberry,6.7,26-29,4.91,12,14,28
Beets,5.8,24-31,0.99,9,15,23
Thyme,5.8,24-28,6.98,11,6,17
Artichoke,6.8,27-26,8.28,7,15,30
Hibiscus,6.2,25-30,1.82,12,11,16
Curry Leaves,6.7,28-34,7.37,11,9,29
Holy Basil,6.0,27-34,8.78,6,9,32
Seaweed,6.6,28-30,7.37,11,14,39
Arugula,7.0,28-26,1.1,5,10,39
Soursop,5.6,18-27,3.05,14,13,22
Taro,6.2,16-32,3.59,6,15,23
Fennel,6.6,19-34,1.2,13,8,23
Lavender,6.7,15-29,4.25,13,12,22
Marjoram,6.2,17-34,8.25,12,12,36
Alfalfa,6.8,29-30,3.73,10,10,24
Beets,6.6,22-34,4.52,5,12,29
Jackfruit,6.9,20-30,2.02,15,10,40
Eggplant,6.2,29-29,1.96,14,14,19
Marjoram,6.7,20-27,5.12,13,7,17
Soursop,5.5,20-26,9.02,13,10,37
Papaya,5.6,21-27,7.28,13,6,34
Saffron,5.8,16-25,8.21,6,11,25
Cranberry,5.8,17-34,6.05,10,15,39
Alfalfa,6.1,30-28,0.6,11,15,35
Mushrooms,6.0,23-35,8.13,12,5,15
Radicchio,5.8,28-31,5.34,9,14,35
Arugula,6.9,21-35,2.28,5,11,30
Sage,6.3,22-33,3.48,14,5,25
Soursop,6.7,21-31,4.31,6,7,15
Chili Pepper,5.8,23-35,5.88,13,12,16
Mango,6.8,15-29,5.23,8,15,26
Melons,5.9,15-35,7.95,8,5,17
Peanuts,6.1,17-28,5.6,10,12,15
Taro,6.0,19-31,6.46,7,14,38
Cranberry,6.4,21-25,7.05,10,14,38
Hops,6.6,26-33,5.78,11,8,15
Blueberry,6.1,17-35,6.51,6,13,16
Purslane,6.3,19-30,0.96,13,15,40
Nutmeg,6.1,28-32,4.82,9,7,33
Yam,6.7,20-27,2.35,12,13,16
Pomegranate,6.1,26-25,7.2,6,7,20
Rosemary,6.1,25-25,1.87,5,10,38
Mango,5.9,27-29,6.32,13,8,38
Turmeric,6.9,29-35,0.99,6,8,18
Cassava,5.7,29-32,4.06,5,11,16
Purslane,6.0,19-33,9.82,11,12,31
Ceylon Spinach,5.7,17-25,6.49,8,11,40
Beets,5.9,21-27,7.75,6,10,39
Jackfruit,5.6,25-28,7.39,10,12,19
Holy Basil,6.0,22-28,8.79,13,9,22
Curry Leaves,6.9,27-33,1.95,13,8,21
Swiss Chard,5.9,15-26,2.27,6,12,35
Holy Basil,5.6,18-26,5.89,15,12,27
Celery,5.8,25-31,8.86,6,6,19
Marjoram,6.3,24-29,1.47,10,14,36
Tomato,5.5,29-33,6.98,7,5,25
Carrots,5.7,23-27,4.57,15,11,20
Yam,6.8,24-30,6.17,13,14,35
Chili Pepper,6.0,24-29,1.79,8,8,36
Hops,5.8,20-34,1.47,11,8,26
Wasabi,6.3,21-31,3.8,6,12,34
Echinacea,6.0,29-29,6.0,7,7,27
Melons,5.9,20-28,2.44,10,7,15
Kiwi,5.6,19-33,2.33,7,12,38
Jackfruit,6.4,15-26,1.68,8,7,33
Thyme,6.9,27-28,0.74,9,13,35
Rose Apple,6.7,20-25,6.47,11,11,36
Oregano,6.8,18-35,6.48,12,13,38
Raspberry,6.4,25-27,8.34,13,9,27
Curry Leaves,6.0,29-34,1.99,12,13,18
Raspberry,5.9,20-32,0.83,5,13,17
Green Onions,6.8,30-27,8.25,14,5,29
Zucchini,6.9,17-28,0.78,10,5,25
Carrots,6.1,17-33,2.91,14,8,17
Rose Apple,6.0,18-33,4.7,15,8,29
Carrots,5.7,18-30,2.86,8,14,25
Snake Gourd,5.8,17-25,4.9,8,9,18
Asparagus,5.9,27-30,1.11,10,13,27
Strawberry,6.1,30-35,2.82,15,13,21
Yacon,5.8,22-33,5.31,13,5,27
Cassava,6.7,16-33,2.03,10,7,30
Lemongrass,6.7,18-30,9.59,5,7,21
Nutmeg,5.8,29-25,7.68,6,7,27
Chives,6.5,29-32,8.52,9,10,32
Parsley,6.5,27-28,7.21,15,6,21
Betel Leaf,6.6,22-32,2.02,6,8,34
Lemongrass,6.9,28-32,6.39,14,12,33
Coriander,6.6,28-30,5.51,10,12,22
Watercress,6.9,30-32,9.38,5,15,28
Sage,6.0,22-25,6.61,5,10,20
Pandan,5.6,19-35,9.44,6,9,25
Bitter Gourd,6.0,20-32,4.82,14,15,38
Rose Apple,6.0,24-27,3.85,9,12,37
Hops,6.6,15-35,4.67,10,13,23
Clove,6.2,27-31,9.03,13,9,39
Avocado,6.6,30-31,5.47,7,7,29
Raspberry,6.0,23-28,5.55,6,14,23
Neem,6.1,25-33,3.12,14,7,40
Gooseberry,7.0,18-30,5.07,5,14,37
Bok Choy,5.7,15-28,8.4,13,10,18
Lychee,6.9,21-26,6.56,9,11,26
Yam,5.6,16-25,3.02,8,14,35
Dragon Fruit,5.7,30-33,9.29,7,14,32
Green Onions,6.2,29-26,3.45,8,7,40
Seaweed,5.9,29-31,5.67,12,13,23
Ginseng,6.1,21-30,7.24,8,5,40
Beans,5.7,28-27,9.97,8,6,30
Sweet Corn,5.8,25-31,3.92,13,9,17
Soybeans,6.8,18-28,8.24,12,11,20
Tomato,5.9,25-26,3.83,14,5,27
Guava,6.5,19-34,5.75,11,10,17
Yacon,6.1,28-31,2.05,12,5,16
Beans,7.0,25-33,7.1,12,12,26
Kiwi,6.8,28-35,2.53,13,14,30
Cucumber,5.8,21-33,5.53,8,8,16
Seaweed,5.8,26-29,7.58,11,9,32
Peanuts,6.1,22-25,3.56,12,6,27
Bitter Gourd,6.5,24-28,3.11,8,9,35
Mushrooms,5.6,21-27,5.21,11,11,22
Horseradish,6.8,17-32,4.86,5,11,39
Blueberry,6.1,19-27,8.98,6,14,36
Artichoke,6.3,21-28,1.9,5,7,25
Mulberry,5.7,15-32,6.38,6,5,35
Alfalfa,6.6,25-30,6.87,14,9,38
Bitter Gourd,5.8,26-35,0.59,11,9,23
Lettuce,6.2,24-29,8.28,15,9,27
Ginger,6.5,19-28,2.08,10,8,24
Oregano,6.0,20-29,9.95,15,14,17
Mushrooms,6.5,16-33,6.37,11,14,18
Star Fruit,6.0,28-35,7.19,11,10,28
Clove,6.2,20-32,5.14,8,7,32
Peppers,5.8,25-28,9.73,11,6,30
Chives,6.6,22-27,1.17,10,8,18
Strawberry,6.0,18-34,4.06,10,12,15
Camellia,6.0,26-27,7.32,11,8,40
Kale,6.7,30-30,6.9,10,11,37
Chili Pepper,7.0,19-30,4.15,10,9,15
Cranberry,6.1,16-31,3.15,15,8,22
Rosemary,6.9,22-26,3.89,15,14,30
Sunflower,6.6,22-25,2.18,7,13,39
Star Fruit,6.7,29-27,7.93,15,13,35
Jasmine,6.5,27-31,5.61,6,15,21
Bitter Gourd,5.8,23-33,1.58,13,15,25
Fenugreek,5.7,27-34,9.71,6,14,18
Echinacea,5.6,24-31,4.12,9,11,26
Avocado,5.7,18-31,9.27,15,10,40
Agarwood,6.2,28-28,7.63,15,5,31
Artichoke,6.8,17-34,4.25,6,5,24
Sweet Corn,6.4,27-31,3.41,9,7,40
Peanuts,6.7,26-28,10.0,15,8,38
Lemongrass,5.5,27-29,6.62,11,9,18
Cauliflower,6.1,20-28,5.41,10,8,33
Chili Pepper,7.0,20-35,2.08,7,9,21
Radicchio,6.6,18-35,6.41,13,8,37
Lavender,6.7,17-28,5.47,15,7,27
Ginseng,6.5,19-34,1.71,5,13,20
Parsley,6.2,27-32,7.03,10,5,17
Sugarcane,5.8,30-30,7.91,5,13,31
Fennel,6.6,24-25,3.13,12,10,26
Bok Choy,6.0,22-31,4.37,5,5,40
Thyme,6.3,24-28,9.03,15,13,22
Watercress,6.3,23-26,6.09,12,13,19
Marjoram,6.3,21-32,1.16,7,14,40
Vanilla,5.8,16-33,5.32,9,5,20
Gooseberry,5.9,30-35,6.5,15,15,18
Bael,6.9,18-28,3.11,15,7,37
Taro,6.3,26-26,2.01,14,15,40
Alfalfa,6.0,16-27,9.81,10,9,31
Jackfruit,6.9,21-32,8.47,7,12,37
Green Onions,5.8,23-35,3.99,10,12,21
Fennel,7.0,22-28,8.0,6,5,32
Gooseberry,6.4,24-27,4.31,8,6,29
Stevia,6.9,29-26,8.33,14,7,39
Tarragon,6.8,18-26,6.65,7,14,26
Lavender,6.7,21-29,9.27,6,12,19
Persimmon,6.2,17-34,8.06,12,14,28
Tea,6.3,29-31,5.62,5,15,34
Peas,6.3,17-34,4.14,11,15,25
Arugula,5.6,29-30,7.97,15,7,37
Peas,6.8,18-31,8.19,15,9,28
Stevia,6.0,27-30,1.84,15,7,31
Chamomile,6.1,30-31,6.96,15,8,17
Taro,6.3,23-34,5.46,12,6,31
Gooseberry,6.7,16-31,5.41,13,5,19
Snake Gourd,6.2,21-34,5.68,12,11,26
Bael,6.3,15-31,5.43,7,15,35
Stevia,6.9,24-26,6.32,6,8,39
Eggplant,7.0,26-29,6.02,6,11,16
Zucchini,6.3,20-35,6.23,10,15,35
Soursop,6.0,23-35,1.64,8,5,34
Gooseberry,5.7,28-27,1.13,15,8,16
Radicchio,5.7,26-27,9.75,14,12,16
Horseradish,5.7,22-29,7.67,9,10,18
Sage,6.9,18-30,2.16,10,10,29
Pineapple,5.7,27-35,7.68,14,12,21
Mint,6.5,17-28,5.3,14,5,38
Pomegranate,6.4,23-33,1.21,8,13,28
Celery,6.2,17-33,2.85,12,10,26
Aloe Vera,7.0,27-34,6.72,12,10,39
Spinach,6.5,19-35,1.99,7,15,34
Chili Pepper,6.7,20-26,5.69,11,9,15
Soybeans,6.9,28-33,5.56,13,7,23
Raspberry,6.7,23-35,9.32,11,8,20
Kiwi,5.8,24-27,5.62,8,10,17
Hops,5.8,27-27,3.44,14,9,35
Sage,6.5,17-30,2.41,8,14,28
Blackberry,7.0,25-27,6.9,14,5,34
Stevia,6.9,27-26,3.53,10,13,40
Beans,6.8,16-35,2.75,14,15,35
Cauliflower,6.3,27-27,5.7,6,14,22
Mango,5.7,27-30,7.98,11,6,17
Yacon,6.5,24-33,8.56,12,7,38
Arugula,5.7,29-26,6.28,9,6,19
Blueberry,5.9,25-33,5.49,14,15,31
Sugarcane,5.7,22-25,4.41,10,11,34
Purslane,5.6,23-33,1.48,12,10,15
Turmeric,6.0,18-32,4.56,6,11,22
Brussels Sprouts,6.5,25-35,1.4,13,12,19
Yam,5.8,19-29,1.87,11,12,30
Seaweed,6.1,27-28,1.32,10,8,39
Raspberry,6.9,29-30,9.52,9,8,23
Blackberry,6.6,17-30,5.75,7,12,23
Mulberry,6.1,19-33,2.7,8,15,22
Cranberry,5.7,24-28,3.84,11,7,38
Bok Choy,6.4,28-28,6.11,8,8,30
Echinacea,6.2,23-32,8.92,7,15,21
Hops,6.7,22-30,5.14,14,14,19
Kale,6.7,20-34,7.91,6,10,27
Jasmine,6.8,23-27,1.67,10,8,35
Ceylon Spinach,6.4,29-34,3.04,8,13,33
Peppers,6.8,15-34,5.7,12,14,26
Ceylon Spinach,6.3,19-26,9.31,10,13,15
Marjoram,6.8,18-25,5.13,9,8,22
Nutmeg,5.8,28-28,8.94,12,13,28
Cucumber,6.4,19-30,1.31,10,11,39
Clove,6.3,26-31,4.87,7,11,31
Peppermint,6.1,28-30,4.59,13,13,28
Bael,6.2,17-35,3.51,10,7,20
Thyme,5.6,25-25,1.47,8,5,30
Mint,5.5,17-28,9.17,9,13,34
Mustard Greens,6.5,30-34,7.82,13,10,37
Cranberry,5.8,29-25,7.72,15,12,33
Coconut,6.5,30-27,2.88,8,8,35
Echinacea,6.3,24-34,2.26,11,9,34
Stevia,6.5,24-30,4.53,11,10,36
Beans,5.8,25-33,3.2,12,8,40
Jackfruit,5.5,26-32,9.05,14,11,21
Horseradish,5.9,15-27,9.59,12,7,30
Swiss Chard,6.7,29-31,5.42,15,13,22
Acerola Cherry,6.4,16-25,0.89,13,5,17
Watermelon,7.0,17-30,0.86,11,8,30
Persimmon,6.0,18-30,5.35,8,14,37
Bael,6.4,24-31,6.04,12,11,19
Papaya,6.4,22-25,6.35,13,13,27
Acerola Cherry,5.7,20-27,5.69,8,9,32
Fig,6.5,23-28,2.79,9,15,23
Pumpkin,5.7,26-31,9.78,6,7,21
Celery,7.0,20-27,2.44,12,6,22
Blueberry,6.3,27-29,1.69,13,15,27
Fig,7.0,18-33,5.79,6,11,36
Coconut,6.8,19-35,1.24,9,7,28
Mustard Greens,5.7,16-26,2.63,5,11,21
Snake Gourd,6.4,18-29,8.48,12,8,31
Cranberry,6.9,15-28,3.71,13,5,23
Vanilla,5.8,29-30,5.79,8,7,34
Artichoke,6.3,18-25,1.8,5,6,20
Celery,6.1,26-34,5.07,15,11,30
Lemongrass,6.2,22-30,5.92,14,14,24
Rose Apple,6.9,16-27,6.6,8,5,20
Peppers,5.8,26-33,1.94,14,11,33
Hops,6.1,18-31,7.19,13,13,37
Turmeric,6.4,29-31,3.51,9,12,26
Aloe Vera,6.8,18-32,1.0,5,7,24
Pomegranate,6.4,22-28,4.65,7,9,37
Yacon,5.6,16-34,9.99,11,6,17
Watermelon,5.9,25-30,4.19,7,8,21
Blueberry,6.8,30-25,4.58,9,11,16
Cabbage,6.7,19-33,8.59,13,11,39
Bael,7.0,16-27,4.06,6,11,34
Ceylon Spinach,6.6,16-31,0.91,8,13,35
Sweet Corn,5.9,30-35,6.69,12,9,25
Pomegranate,6.3,28-30,3.89,13,9,30
Taro,6.4,16-26,2.48,8,5,37
Blackberry,6.1,30-33,2.89,11,6,22
Chili Pepper,5.8,23-31,8.22,12,13,21
Marjoram,6.7,29-25,3.91,8,5,36
Eggplant,5.9,25-25,2.4,8,5,26
Gooseberry,7.0,26-33,3.78,10,13,35
Coffee,5.7,18-31,2.93,10,13,24
Spinach,6.2,16-34,6.54,8,12,27
Agarwood,6.2,21-34,6.56,12,12,29
Zucchini,6.9,20-29,8.17,10,7,35
Neem,6.7,17-35,6.89,6,6,36
Yam,6.9,25-35,6.79,14,11,35
Tomato,7.0,18-31,2.29,6,11,16
Watermelon,7.0,16-30,7.24,10,8,29
Mustard Greens,6.6,27-34,5.67,5,7,16
Chives,5.9,17-27,4.86,10,6,26
Chili Pepper,6.4,18-29,8.6,8,14,25
Lettuce,6.9,20-29,3.1,12,7,19
Seaweed,5.6,22-29,7.44,8,12,25
Jackfruit,6.6,23-30,9.55,9,15,28
Zucchini,5.6,21-35,3.76,13,12,30
Raspberry,5.7,16-33,5.0,5,10,20
Ginseng,6.1,25-35,5.92,15,15,24
Coconut,5.5,17-35,2.97,9,12,20
Avocado,6.2,28-29,3.22,9,14,31
Peppermint,6.7,29-27,8.57,12,14,21
Mango,5.7,30-30,3.7,13,6,37
Chives,6.6,18-30,1.35,12,6,34
Beans,5.7,28-26,8.98,5,9,20
Taro,5.9,16-27,0.68,10,6,28
Artichoke,5.6,15-34,4.09,12,7,15
Fenugreek,6.7,27-29,6.46,5,11,36
Lemongrass,6.9,29-30,3.82,14,6,21
Pandan,6.0,29-33,9.94,13,10,19
Rosemary,6.7,15-28,1.03,14,10,22
Mulberry,5.7,29-30,0.86,7,12,37
Fig,6.1,27-26,8.39,12,14,37
Wasabi,6.6,27-25,3.96,15,7,32
Asparagus,6.4,19-34,9.3,7,5,38
Peas,6.3,27-26,7.03,11,14,19
Chili Pepper,6.0,18-29,4.32,8,14,31
Passionfruit,5.5,20-27,8.72,6,14,26
Green Onions,6.2,15-28,1.88,6,9,25
Luffa,6.8,22-34,4.48,9,15,36
Horseradish,6.8,17-26,5.15,7,8,21
Endive,6.7,23-34,3.18,5,13,20
Raspberry,6.8,18-30,1.68,14,5,19
Microgreens,5.5,30-27,3.53,14,14,23
Chives,6.8,22-33,7.63,15,13,21
Moringa,6.6,28-25,5.86,14,9,35
Yacon,6.2,19-31,8.11,14,13,22
Sugarcane,5.6,21-30,8.69,13,13,36
Betel Leaf,5.9,18-34,4.07,6,12,28
Ginseng,5.5,15-28,8.9,7,15,26
Cassava,6.7,28-26,6.49,10,8,27
Broccoli,5.8,15-30,4.54,9,8,36
Camellia,6.1,22-27,4.66,5,9,28
Ginger,6.6,18-33,8.51,5,12,32
Dandelion Greens,6.6,28-27,7.67,10,13,36
Mushrooms,5.6,19-28,7.9,10,12,33
Fenugreek,5.9,27-29,1.33,11,11,28
Rose Apple,6.5,30-29,7.12,13,11,33
Wasabi,6.8,16-31,5.26,15,10,25
Alfalfa,5.5,19-30,6.67,10,5,18
Fenugreek,6.6,21-26,3.61,15,9,35
Saffron,6.0,24-35,2.14,7,6,34
Hops,6.5,21-32,6.59,6,8,19
Persimmon,7.0,18-28,2.05,7,10,28
Dragon Fruit,6.4,19-34,6.68,15,7,20
Cranberry,6.5,28-27,0.9,6,11,26
Yam,5.9,20-29,2.87,9,6,40
Marjoram,6.0,20-28,0.58,6,6,15
Dill,6.5,16-32,4.15,10,5,40
Watercress,6.9,24-33,4.63,10,5,19
Kale,7.0,30-28,8.05,13,13,31
Mint,5.6,20-34,9.1,7,8,19
Wasabi,5.8,22-27,8.07,7,11,26
Raspberry,6.7,27-27,2.42,15,9,15
Tomato,6.1,22-27,6.0,11,12,39
Aloe Vera,6.0,20-31,9.3,14,11,15
Green Onions,6.3,28-30,7.19,5,13,22
Clove,5.8,17-32,1.31,13,14,24
Kale,5.8,21-32,7.47,12,14,25
Pomegranate,6.9,28-27,4.0,5,11,27
Raspberry,6.9,28-26,1.96,7,14,39
Blueberry,6.7,27-33,3.45,8,7,25
Rosemary,6.2,18-25,7.02,8,9,16
Mustard Greens,6.3,20-32,7.09,6,13,19
Vanilla,6.2,16-28,5.95,5,10,23
Bok Choy,6.4,20-28,2.19,14,13,35
Eggplant,5.6,15-30,4.47,12,8,23
Turmeric,6.9,22-34,7.22,11,13,25
Avocado,6.3,23-27,5.03,13,10,18
Lemongrass,5.7,29-27,8.34,5,9,17
Purslane,5.8,18-28,6.7,12,12,19
Fennel,6.3,17-29,7.09,7,8,17
Peanuts,6.3,25-29,6.8,6,14,25
Tomato,5.8,23-31,6.24,7,11,17
Chives,5.5,18-31,7.75,7,15,38
Broccoli,5.6,22-28,5.27,15,12,27
Rosemary,5.9,18-28,7.96,12,9,35
Chamomile,5.7,25-28,1.36,9,13,28
Ceylon Spinach,6.1,17-28,6.5,7,15,26
Tomato,6.3,24-34,5.5,6,6,26
Mint,5.8,21-26,3.14,9,7,29
Snake Gourd,5.9,19-25,3.18,11,6,29
Curry Leaves,6.2,21-26,2.39,6,15,28
Sage,5.7,24-28,5.34,13,8,19
Seaweed,6.4,18-33,8.57,11,10,27
Acerola Cherry,6.6,29-26,7.39,9,9,26
Marjoram,5.8,26-31,8.83,11,14,39
Blackberry,6.6,23-28,2.67,15,6,23
Purslane,6.0,25-35,7.8,12,6,21
Pomegranate,6.1,18-26,8.4,7,11,39
Thyme,6.6,23-32,9.71,14,11,39
Peppermint,6.5,19-28,9.18,14,12,23
Strawberry,6.3,27-32,6.09,9,6,34
Holy Basil,6.2,17-29,9.64,6,9,32
Strawberry,6.7,29-31,9.64,14,8,37
Alfalfa,6.8,19-28,6.56,6,7,18
Kiwi,5.9,26-34,6.58,15,8,15
Cassava,5.9,23-27,4.64,15,10,23
Basil,7.0,18-25,6.17,6,6,27
Curry Leaves,5.6,24-29,7.73,14,11,38
Raspberry,6.0,27-31,8.54,7,11,29
Marjoram,5.8,20-25,9.71,11,10,36
Mango,6.7,26-26,7.37,6,8,17
Asparagus,6.8,29-25,5.53,15,7,24
Turmeric,6.6,17-26,5.04,5,13,32
Rose Apple,6.6,23-33,2.56,7,9,33
Rosemary,6.5,21-30,0.73,14,11,15
Celery,6.6,27-31,1.08,5,8,23
Echinacea,5.9,24-25,6.27,9,9,40
Fenugreek,6.8,15-33,8.29,7,15,33
Sunflower,6.2,25-33,6.24,15,11,22
Oregano,6.4,22-35,1.47,9,6,35
Coffee,6.1,30-27,8.63,6,10,24
Fennel,6.0,20-25,1.48,13,7,21
Fenugreek,5.9,29-27,5.0,10,14,37
Coriander,6.1,21-34,2.43,11,13,16
Persimmon,6.7,17-25,9.3,15,9,24
Clove,6.5,30-33,1.14,12,14,28
Coconut,6.0,16-33,4.16,13,11,39
Echinacea,6.0,27-35,5.72,11,12,40
Taro,6.7,18-27,5.96,8,8,21
Fenugreek,6.1,23-29,2.8,12,13,23
Brussels Sprouts,5.9,26-34,3.9,15,7,23
Tarragon,6.1,29-26,3.09,10,10,34
Saffron,6.3,27-30,8.32,8,15,30
Jasmine,6.4,22-33,5.42,6,5,36
Cauliflower,6.9,19-25,5.57,7,7,34
Turmeric,6.2,20-31,7.19,9,10,37
Purslane,5.6,19-30,8.95,12,10,35
Green Onions,5.8,15-35,8.51,13,12,36
Nutmeg,5.7,17-27,3.91,6,13,39
Spinach,6.5,28-29,3.31,7,11,24
Swiss Chard,5.9,27-29,7.63,7,11,28
Microgreens,6.8,22-35,2.55,8,14,18
Spinach,6.5,18-32,4.28,8,9,18
Watercress,7.0,23-31,2.15,14,12,16
Broccoli,6.3,30-34,2.78,10,15,20
Sapodilla,6.4,20-28,6.24,14,13,36
Yam,5.8,20-30,5.26,11,14,40
Raspberry,6.7,19-26,4.89,13,13,39
Thyme,6.5,30-29,4.18,6,15,26
Eggplant,5.5,18-33,7.58,11,15,28
Rosemary,6.0,21-32,2.63,9,14,40
Jasmine,6.2,21-28,2.46,15,8,28
Betel Leaf,6.7,28-34,1.05,15,7,21
Sunflower,6.6,19-29,5.44,5,11,26
Parsley,6.8,21-32,4.65,8,7,31
Blackberry,5.8,17-34,7.83,7,12,19
Persimmon,6.4,26-31,6.78,9,14,28
Marjoram,6.8,28-34,9.44,9,9,38
Persimmon,5.7,18-35,8.47,8,14,35
Snake Gourd,5.7,18-26,2.3,13,12,25
Chives,5.7,17-32,2.89,12,15,40
Hops,6.4,23-35,2.98,7,7,25
Sapodilla,6.5,21-35,6.17,5,14,36
Star Fruit,6.5,16-31,4.88,5,13,15
Asparagus,6.8,17-32,7.34,8,14,38
Purslane,5.6,20-35,8.9,11,13,22
Fig,5.9,26-35,8.1,8,11,33
Peanuts,5.7,17-30,1.69,15,12,30
Taro,6.5,27-33,0.76,14,8,37
Watercress,6.3,26-25,1.53,15,8,34
Turmeric,5.6,19-31,1.19,14,8,22
Holy Basil,5.8,19-28,8.51,7,13,37
Mushrooms,6.2,16-35,1.25,15,13,19
Aloe Vera,6.5,16-29,8.02,11,8,29
Broccoli,6.6,19-35,7.14,12,10,22
Celery,6.4,22-27,0.71,12,14,34
Watermelon,6.6,25-26,9.86,14,8,32
Artichoke,6.7,17-35,5.46,6,7,32
Artichoke,5.6,19-31,4.37,15,12,28
Ceylon Spinach,5.6,19-26,1.27,7,15,29
Raspberry,7.0,30-27,4.35,7,8,26
Lavender,6.5,16-25,5.98,10,10,19
Persimmon,5.8,20-29,8.87,8,8,26
Celery,5.8,18-30,9.32,13,15,31
Dill,5.6,23-28,2.94,9,8,26
Mint,6.7,21-31,6.62,7,12,19
Peppermint,6.1,24-25,0.57,7,13,34
Alfalfa,6.0,16-35,7.91,8,12,17
Raspberry,6.5,24-31,1.21,6,11,26
Purslane,5.9,18-31,1.62,7,9,34
Bael,6.2,30-33,8.64,7,7,15
Basil,6.8,24-32,6.01,5,14,38
Cucumber,6.1,30-33,9.04,6,7,20
Acerola Cherry,6.2,25-31,7.92,8,14,36
Dragon Fruit,6.5,22-29,9.31,9,14,21
Mint,6.0,18-35,0.76,10,11,30
Soursop,5.8,22-27,1.72,5,7,17
Artichoke,6.7,26-33,7.98,13,5,19
Pineapple,6.0,18-29,4.06,11,15,34
Betel Leaf,6.0,18-26,7.4,13,7,20
Moringa,6.0,27-29,3.81,6,11,21
Nutmeg,5.9,25-26,8.72,14,15,30
Endive,6.2,17-26,4.55,14,9,26
Mustard Greens,6.2,16-29,5.7,12,7,31
Papaya,6.5,25-31,0.88,10,12,16
Microgreens,6.7,20-33,9.64,5,5,35
Bitter Gourd,7.0,27-35,4.07,7,15,25
Peppermint,6.8,17-29,0.56,10,14,16
Luffa,7.0,25-35,3.75,12,10,21
Vanilla,5.9,17-35,6.8,13,6,27
Cabbage,6.9,28-28,6.01,8,7,33
Pomegranate,6.1,23-35,7.93,8,15,24
Lettuce,6.7,16-33,4.33,15,10,25
Jasmine,6.2,18-27,4.66,8,10,37
Avocado,6.4,28-28,1.31,13,8,23
Rosemary,6.8,26-32,8.37,10,13,23
Marjoram,6.9,28-34,1.77,9,7,18
Strawberry,6.1,28-29,5.58,13,7,25
Agarwood,6.4,27-27,4.5,15,15,34
Coffee,5.8,20-29,8.3,7,8,20
Betel Leaf,6.7,26-27,1.72,6,14,33
Brussels Sprouts,6.6,29-33,7.07,5,5,22
Strawberry,5.8,17-33,4.54,12,13,32
Zucchini,5.9,29-30,7.25,13,15,39
Luffa,6.4,18-30,1.91,11,13,34
Carrots,6.9,21-29,1.25,13,8,24
Fenugreek,5.8,30-32,3.26,11,6,25
Cucumber,5.8,17-33,5.23,6,8,38
Arugula,5.8,24-27,1.91,8,6,29
Chamomile,5.5,25-26,0.98,12,10,25
Mango,5.9,29-29,0.68,6,10,20
Celery,6.3,26-32,4.74,15,14,32
Agarwood,5.9,24-34,5.98,10,15,29
Arugula,6.5,16-26,1.19,14,10,27
Microgreens,6.0,18-35,5.02,6,11,31
